"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"STAC";336,137562772145;-1,85669581218909;0,218273587930149;8,36027140175414e-19;3,14720641571826e-17
"ANKRD66";32,1541628811251;1,85645874438645;0,626092140259044;4,46148283539339e-05;0,000201246623386933
"TPO";359,827155438557;1,85029990713262;0,26236554315482;4,0608563949591e-14;7,89498501512486e-13
"PNMT";43,8756437476932;-1,85021247964098;0,409210851107507;1,92646375478312e-07;1,33212919213726e-06
"UGT2B4";104,8377008042;1,84632197549413;0,784763463236972;1,6270925996048e-06;9,56536198139691e-06
"B3GAT1";1250,03314806296;1,84562431554357;0,155020431520783;5,45941063642936e-34;2,80153966869401e-31
"HOXC4";125,188403388725;1,84341539638714;0,323350058517121;4,95363528961565e-10;5,03890913654174e-09
"SSTR1";266,60465981081;1,83359208286872;0,265447642093412;2,30006231198536e-13;4,04794359961323e-12
"SLC38A11";1548,17148398808;1,82020726124621;0,212846942015031;8,29455593591541e-20;3,66766078798981e-18
"TMEM178A";542,915365347592;1,81750987791133;0,213851608668176;1,41975816733998e-18;5,16516497446447e-17
"DNAH5";2821,66475394285;1,81464513803934;0,232748077404144;5,01099816003502e-16;1,24954557699083e-14
"HOXD13";341,006385462658;-1,81072940711838;0,225455779932365;4,7265073831438e-17;1,35142073271707e-15
"EN2";37,0469852025503;1,80975182907433;0,606047272240511;2,86883343666676e-05;0,000133673242568702
"ANKRD30B";62,0878239530701;1,80478269317154;0,474279560492985;4,35389475155358e-06;2,37684623895002e-05
"SAMD5";1010,15270405463;1,79976435401421;0,183028952786979;4,69374060706063e-24;4,14153582975938e-22
"AC069368.1";28,2874863640528;-1,79783242114935;0,392415000526958;1,09267610405671e-07;7,83352354011245e-07
"SLIT1";413,661113083445;1,78833201957191;0,3160383217404;4,84299055038885e-11;5,88400721075281e-10
"CLDN8";720,601855561785;1,78654964768804;0,154625281307296;4,70469037561625e-32;1,66802658771849e-29
"IGFN1";1410,60440543433;1,7849016658166;0,207073935523314;1,86196801967438e-19;7,61181894835438e-18
"DNAH8";1052,92134640215;1,78376417218424;0,264655862132512;4,41959060785038e-13;7,38492003882454e-12
"FOXJ1";138,880016537941;1,78314604251433;0,3726647656058;6,40696185242582e-08;4,77948569710419e-07
"OR51A4";114,512043941235;1,78247837138199;0,312382797053356;5,12320981235047e-10;5,20325996566844e-09
"VSTM2A";251,628348296922;-1,77724760120599;0,594764938069866;1,8855031729539e-05;9,09406675058152e-05
"DPT";678,66416918717;-1,77382693449086;0,199183311153506;7,19265116521164e-21;3,83215021097342e-19
"DAZ4";17,5074391028868;1,77002854182205;0,463445260338644;4,9649848939878e-06;2,67724471283944e-05
"TEX45";39,6699549577589;1,76839746051526;0,443430087187903;2,30101412415141e-06;1,32164286954205e-05
"CFD";2066,33157738008;-1,76823909210669;0,177795780511499;1,57695592277109e-24;1,51480987655351e-22
"CNTFR";203,094470049739;-1,7626294511248;0,243596867398618;2,0202416058325e-14;4,09083191212189e-13
"NOX4";211,557144628479;1,76013556211521;0,298770715645856;1,11448681137563e-10;1,2746330100777e-09
"GDA";130,903573574475;1,75533400795928;0,761170848099545;0,000248677259746364;0,000970035320074836
"CPA6";285,074629366061;-1,75018532840419;0,263565322518035;1,67856284518516e-12;2,54921927422981e-11
"AC013470.2";35,4992196023662;1,75018274695939;0,445580003579249;6,18126386969881e-07;3,92620994980869e-06
"IP6K3";172,660513775851;-1,74487143395065;0,282549876339677;2,07688533514706e-11;2,65047539498479e-10
"DNASE2B";161,988856195554;1,74472365749457;0,460056925586798;6,81374238352107e-06;3,58786668430855e-05
"GLYATL1B";90,2324064059583;1,73697722555237;0,352763688412373;4,43735452804863e-08;3,38133697916953e-07
"HOXC5";38,2184381535331;1,73571058774776;0,41266236835735;6,18094073403174e-07;3,92620994980869e-06
"MYO6";8976,63456405325;1,72923754932422;0,110981398831341;1,92525851768654e-56;9,38563527372186e-53
"COL2A1";736,174509343653;1,72584085039492;0,50624515120419;2,82657296823035e-10;2,9988124526927e-09
"SPINK1";55,7922839487092;1,72545583705872;0,760989721856263;0,000801591545155602;0,00278876630339594
"PIK3C2G";163,118869002776;-1,72512754316718;0,284045560856695;3,79233404821322e-11;4,68634435615702e-10
"PCDHA11";125,25791714046;1,72466147252298;0,299369722061162;4,31955533496746e-10;4,43322784378239e-09
"GOLM1";14280,9582496369;1,72395638687929;0,142961585360008;2,41909461617596e-34;1,2749282436603e-31
"SFRP4";2129,41184121714;1,72300425426624;0,191842174398942;2,54215401981352e-20;1,22098530508285e-18
"TMEM45B";619,79202300043;1,72095503371903;0,282698699854765;1,69204895262594e-11;2,19527309222927e-10
"SMIM32";92,4728278379109;1,71449598770293;0,363589944450088;5,85161894719808e-08;4,38534087126681e-07
"PRR36";1658,21715754243;1,71441902728116;0,131642304289597;2,92690558747513e-40;3,35733287975088e-37
"ITGBL1";350,987031780988;1,71387190994819;0,313983643528047;2,9810614745167e-09;2,73685022377945e-08
"SPZ1";26,7857154135524;1,70903875411004;0,539327506623091;6,81884956145707e-05;0,000296935164020574
"KRT5";3797,32767869386;-1,70456502156304;0,22242699030951;7,46546602196478e-16;1,83115204312344e-14
"DAZ1";21,6510027043827;1,70275037302941;0,483012842852011;1,67631299118992e-05;8,16053505900452e-05
"POTEC";102,670421858784;1,7016166407184;0,50355004638729;3,30057094698635e-05;0,000152189958539215
"CXCL11";118,06883833397;1,7010967832134;0,428129658596436;2,80188004943115e-06;1,58781345434198e-05
"KRT23";393,599611502804;-1,70036518917571;0,259255883693289;3,21606100644771e-12;4,68008877803958e-11
"OLFM4";3771,00711289089;-1,69970011383314;0,335871729734157;1,91775512136399e-08;1,54084156846303e-07
"EBF2";178,976276980908;1,69892510235292;0,288350799514377;7,69205949390076e-11;9,03041301210505e-10
"IAPP";21,2426533406741;1,69878352623283;2,15043220573317;0,000287805100543546;0,00110869210995637
